SeedEssentials-Matrix1	SeedEssentials-Matrix2	CoreEssentials-24of48screens	ConstitutiveCoreEssentials(CCE)	Nonessential Genes (NE)
LUC7L3	NUP98	EFTUD2	ERH	BPIFB3
NACA	NXF1	EIF1AX	ETF1	BPIFB6
NAPA	PAPOLA	EIF2B4	EXOSC10	BPIFC
NUP93	PELP1	EIF2S2	FTSJ3	BPY2
NUP98	PFDN2	EIF3A	GAR1	BRDT
PAPOLA	PHB	EIF3B	GNL3	BSND
PELP1	PHF5A	EIF3C	GTF3C4	C10orf113
PHB	POLR2A	EIF3D	HAUS7	C10orf120
PHF5A	POLR2D	EIF3F	HEATR1	C10orf53
POLR2A	POLR2I	EIF3G	HNRNPC	C11orf40
POLR2D	PRPF18	EIF3I	HNRNPK	C12orf40
POLR2I	PRPF19	EIF4A3	HNRNPM	C14orf183
POLR2K	PRPF31	EIF4E3	HNRNPU	C15orf55
PRKAB2	PRUNE	EIF5B	HSPA9	C16orf78
PRPF18	PSMA1	EPHB4	HSPE1	C17orf102
PRPF19	PSMA2	ERCC6L	INTS9	C17orf78
PRPF31	PSMA3	ERH	KARS	C18orf26
PSMA1	PSMB2	ETF1	KPNB1	C19orf45
PSMA2	PSMB3	EVX2	LIAS	C1orf146
PSMA3	PSMC4	EXOSC10	LSM4	C20orf173
PSMB2	PSMD1	FAM126A	LSM6	C20orf203
PSMB3	PSMD11	FLT3LG	MRPS31	C20orf79
PSMC4	PSMD6	FTSJ3	MSANTD3	C2orf57
PSMD1	PSMD7	FUT9	NACA	C2orf61
PSMD11	RAN	GAR1	NAPA	C2orf71
PSMD6	RBM17	GNL3	NAPG	C2orf83
PSMD7	RFC4	GPR112	NEDD8	C3orf30
RAN	RPA1	GREM1	NHP2L1	C4orf40
RANGRF	RPA2	GRIN1	NUDT21	C5orf20
RBM17	RPL10	GTDC2	NUP133	C6orf10
RFC4	RPL10A	GTF3C4	NUP205	C7orf66
RINT1	RPL11	GUSBP4	NUP54	C7orf71
RPA1	RPL12	HAUS7	NUP93	C8A
RPA2	RPL13	HEATR1	NUP98	C8B
RPL10	RPL13A	HINT3	NXF1	C8orf17
RPL10A	RPL14	HNRNPC	PABPN1	C8orf86
RPL11	RPL18	HNRNPK	PAPOLA	C9orf53
RPL12	RPL18A	HNRNPM	PFDN2	CABP2
RPL13	RPL23	HNRNPU	PHB	CABP5
RPL13A	RPL26	HSPA9	PHB2	CABS1
RPL14	RPL27	HSPE1	PHF5A	CACNG2
RPL18	RPL31	HSPG2	POLR2D	CACNG3
RPL18A	RPL32	IGFBP2	POLR2F	CACNG5
RPL23	RPL34	INTS4L2	POLR2I	CATSPER4
RPL26	RPL35A	INTS9	PPP2R1A	CCDC155
RPL27	RPL36	ISG20	PRKAB2	CCDC172
RPL31	RPL37	KARS	PRPF18	CCDC83
RPL32	RPL37A	KCNJ5	PRPF19	CCKAR
RPL34	RPL4	KPNB1	PRPF3	CCL1
RPL35A	RPL5	LIAS	PRPF31	CCT8L2
RPL36	RPL6	LSM3	PRPF38A	CD200R1L
RPL37	RPL7	LSM4	PRPF8	CDCP2
RPL37A	RPL7A	LSM5	PRUNE	CDX2
RPL4	RPLP0	LSM6	PSMA1	CDX4
RPL5	RPLP2	MCM2	PSMA2	CDY1
RPL6	RPN2	MPL	PSMA3	CDY1B
RPL7	RPS11	MRPS31	PSMA6	CDY2A
RPL7A	RPS13	MS4A13	PSMB2	CDY2B
RPLP0	RPS14	MSANTD3	PSMB3	CEACAM7
RPLP2	RPS15A	NACA	PSMC1	CELA2A
RPN2	RPS17	NAPA	PSMC2	CELA3A
RPS11	RPS24	NAPG	PSMC4	CELA3B
RPS13	RPS26	NCOR2	PSMD1	CER1
RPS14	RPS27A	NEDD8	PSMD11	CETN1
RPS15A	RPS3A	NHP2L1	PSMD7	CFHR2
RPS17	RPS7	NID2	QARS	CFHR5
RPS24	RPS9	NOC4L	RAN	CHAT
RPS26	RPSA	NUDT21	RBM17	CHRNA6
RPS27A	RPTOR	NUF2	RILPL2	CHRNB3
RPS3A	RRM1	NUP133	RPA1	CLCA1
RPS7	RUVBL2	NUP205	RPA2	CLDN17
RPS9	SDAD1	NUP54	RPL10	CLEC2A
RPSA	SF3A1	NUP93	RPL10A	CLEC3A
RPTOR	SF3B5	NUP98	RPL11	CLEC6A
RRM1	SFPQ	NXF1	RPL12	CLRN1
RUVBL2	SHFM1	PABPN1	RPL13	CNBD1
SDAD1	SNRNP200	PAPOLA	RPL13A	CNGA2
SF3A1	SNRPD1	PAQR5	RPL14	CNGB3
SF3A2	SNRPD2	PELP1	RPL18	CNPY1
SF3B3	SUPT5H	PFDN2	RPL18A	CNTNAP5
SF3B4	TAF2	PGLYRP4	RPL19	COL20A1
SF3B5	TBCD	PHB	RPL23A	COX7B2
SFPQ	TUBA1B	PHB2	RPL24	CPXCR1
SHFM1	TUBB	PHF5A	RPL26	CRNN
SNRNP200	U2AF1	PLK1S1	RPL27	CRX
SNRNP70	U2AF2	POLA1	RPL3	CRYGB
SNRPD1	UBA6	POLR2A	RPL30	CSH1
SNRPD2	USP39	POLR2D	RPL31	CSHL1
SNRPE	VCP	POLR2F	RPL32	CSN2
SUPT5H	VDAC1	POLR2I	RPL34	CSN3
TAF2	WDR5	PPP2R1A	RPL35	CST11
TUBA1B	YY1	PRKAB2	RPL35A	CST4
TUBB		PRPF18	RPL36	CST5
TUBGCP3		PRPF19	RPL37	CST8
U2AF1		PRPF3	RPL37A	CST9
U2AF2		PRPF31	RPL38	CST9L
USP39		PRPF38A	RPL4	CSTL1
VCP		PRPF8	RPL5	CT45A2
WDR5		PRUNE	RPL6	CT45A4
XRCC6		PSMA1	RPL7	CT45A5
YY1		PSMA2	RPL7A	CT47A11
		PSMA3	RPLP0	CTCFL
		PSMA6	RPLP2	CTRB1
		PSMB2	RPN2	CXorf1
		PSMB3	RPS11	CXorf66
		PSMC1	RPS13	CYLC2
		PSMC2	RPS14	CYP11B1
		PSMC4	RPS15	CYP11B2
		PSMD1	RPS15A	CYP26C1
		PSMD11	RPS17	CYP2A13
		PSMD6	RPS18	CYP2C19
		PSMD7	RPS19	CYP4A22
		PTGDR2	RPS20	CYP4F8
		QARS	RPS24	CYP7A1
		RAN	RPS26	DAZ1
		RBM17	RPS27A	DAZ2
		RBM47	RPS3	DAZ3
		RFC4	RPS3A	DAZ4
		RILPL2	RPS4X	DAZL
		RPA1	RPS5	DCAF4L2
		RPA2	RPS6	DCAF8L1
		RPL10	RPS7	DDI1
		RPL10A	RPS8	DDX4
		RPL11	RPS9	DEFA5
		RPL12	RPSA	DEFA6
		RPL13	RRM1	DEFB103B
		RPL13A	RUVBL1	DEFB104A
		RPL13AP6	RUVBL2	DEFB106A
		RPL14	SDAD1	DEFB107A
		RPL17	SF3A1	DEFB118
		RPL18	SF3A2	DEFB123
		RPL18A	SF3B1	DEFB126
		RPL19	SF3B2	DEFB127
		RPL23	SF3B3	DEFB129
		RPL23A	SF3B4	DGAT2L6
		RPL24	SF3B5	DGKK
		RPL26	SFPQ	DIRC1
		RPL27	SHFM1	DMP1
		RPL3	SMC3	DMRT1
		RPL30	SNRNP200	DMRTB1
		RPL31	SNRNP27	DMRTC2
		RPL32	SNRPD1	DPCR1
		RPL34	SNRPD2	DPRX
		RPL35	SRCAP	DRD3
		RPL35A	SRFBP1	DRGX
		RPL36	SRSF1	DSCR4
		RPL37	SRSF3	DSG4
		RPL37A	SUPT5H	DSPP
		RPL38	SUPT6H	DTX2
		RPL4	SUPV3L1	DUSP21
		RPL5	TFIP11	DUX4
		RPL6	THOP1	DUX4L7
		RPL7	TIMM10	DUXA
		RPL7A	TSTA3	EFCAB3
		RPL9	TUBA1B	EGR4
		RPLP0	TUBGCP2	ENTHD1
		RPLP2	U2AF1	ESX1
		RPN2	U2AF2	EVX1
		RPS11	UBA1	F13B
		RPS13	USP39	F9
		RPS14	VCP	FABP2
		RPS15	WDR12	FAM106A
		RPS15A	WDR60	FAM47A
		RPS17	WDR61	FAM47B
		RPS18	XAB2	FAM47C
		RPS19	XPO1	FAM71A
		RPS20	YY1	FAM71B
		RPS24	ZBTB48	FAM71C
		RPS26	ZC3H13	FAM75A7
		RPS27	ZNF207	FAM75D1
		RPS27A		FCRL4
		RPS28		FEZF1
		RPS29		FEZF2
		RPS3		FFAR1
		RPS3A		FGF3
		RPS4X		FGF4
		RPS5		FGF6
		RPS6		FIGLA
		RPS7		FLG2
		RPS8		FMR1NB
		RPS9		FNDC7
		RPSA		FNDC9
		RPSAP9		FOXB1
		RRM1		FOXB2
		RUVBL1		FOXD4L3
		RUVBL2		FOXD4L4
		SDAD1		FOXE3
		SF3A1		FOXN1
		SF3A2		FOXR1
		SF3B1		FRG2
		SF3B2		FRMD7
		SF3B3		FSCB
		SF3B4		FUT5
		SF3B5		FUT9
		SFPQ		G6PC
		SHFM1		GABRA1
		SKAP1		GABRA6
		SLC22A3		GAGE1
		SMC2		GAGE2C
		SMC3		GALNTL5
		SNRNP200		GALR1
		SNRNP27		GALR3
		SNRPD1		GBP7
		SNRPD2		GCG
		SNRPE		GCM2
		SNRPG		GDF2
		SPINT2		GFRA4
		SRCAP		GFRAL
		SRFBP1		GH2
		SRSF1		GHRH
		SRSF3		GHSR
		SUPT5H		GIF
		SUPT6H		GJA10
		SUPV3L1		GJA8
		TEKT2		GK2
		TEX11		GKN2
		TFIP11		GLRA1
		THOP1		GLRA2
		TIMM10		GLT6D1
		TLR9		GML
		TRIP13		GOLGA6L2
		TSTA3		GOT1L1
		TUBA1B		GPR101
		TUBA1C		GPR111
		TUBGCP2		GPR119
		TXLNG2P		GPR128
		U2AF1		GPR139
		U2AF2		GPR144
		UBA1		GPR148
		USP17L4		GPR151
		USP39		GPR152
		VCP		GPR26
		VPS28		GPR31
		WDR12		GPR32
		WDR60		GPR45
		WDR61		GPR50
		WDR86		GPR52
		XAB2		GPR78
		XPO1		GPRC6A
		YY1		GPX5
		ZAN		GPX6
		ZBTB48		GRK1
		ZC3H13		GRM4
		ZNF207		GRM5
				GRM6
				GSC2
				GSTA5
				GSX1
				GSX2
				GUCA2A
				GUCY2F
				H1FOO
				H2BFM
				H2BFWT
				HAO1
				HCRTR2
				HDGFL1
				HHLA1
				HIST1H2AA
				HIST1H2BA
				HIST1H4G
				HMX1
				HOXB1
				HOXD12
				HRG
				HRH3
				HSFY1
				HSFY2
				HTN3
				HTR1A
				HTR2C
				HTR3C
				HTR3D
				HTR3E
				HTR5A
				HTR6
				IAPP
				IFIT1B
				IFNA10
				IFNA14
				IFNA16
				IFNA17
				IFNA2
				IFNA21
				IFNA4
				IFNA5
				IFNA6
				IFNA7
				IFNA8
				IFNB1
				IFNK
				IFNW1
				IL12B
				IL13
				IL17A
				IL17F
				IL1F10
				IL21
				IL22
				IL25
				IL26
				IL28A
				IL28B
				IL29
				IL3
				IL31
				IL36A
				IL36B
				IL36RN
				IL9
				INS
				INSL5
				INSL6
				INSM2
				INSRR
				IQCF1
				IRGC
				ISX
				ITIH6
				IZUMO2
				KCNA10
				KCNB2
				KCNG4
				KCNK10
				KCNK16
				KCNK18
				KCNV1
				KHDC3L
				KIF2B
				KIR2DL1
				KIR3DL3
				KLK12
				KLK9
				KRT2
				KRT25
				KRT26
				KRT28
				KRT33A
				KRT35
				KRT36
				KRT37
				KRT38
				KRT40
				KRT71
				KRT73
				KRT74
				KRT75
				KRT76
				KRT77
				KRT78
				KRT82
				KRT84
				KRT85
				KRT86
				KRT9
				KRTAP1-1
				KRTAP10-1
				KRTAP10-10
				KRTAP10-11
				KRTAP10-12
				KRTAP10-2
				KRTAP10-4
				KRTAP10-5
				KRTAP10-6
				KRTAP10-7
				KRTAP10-8
				KRTAP10-9
				KRTAP11-1
				KRTAP13-1
				KRTAP13-2
				KRTAP13-3
				KRTAP13-4
				KRTAP15-1
				KRTAP17-1
				KRTAP19-3
				KRTAP23-1
				KRTAP26-1
				KRTAP3-2
				KRTAP4-11
				KRTAP4-12
				KRTAP4-2
				KRTAP4-4
				KRTAP4-7
				KRTAP5-2
				KRTAP9-2
				KRTAP9-3
				KRTAP9-4
				LALBA
				LBX1
				LCN9
				LCT
				LGALS13
				LGALS14
				LHFPL5
				LHX3
				LHX5
				LIM2
				LIN28A
				LIPM
				LOR
				LRIT1
				LRIT2
				LRRC10
				LUZP4
				LYZL1
				LYZL2
				LYZL6
				MAGEA10
				MAGEA11
				MAGEB1
				MAGEB10
				MAGEB18
				MAGEB3
				MAGEB4
				MAGEC3
				MAS1
				MAS1L
				MBD3L1
				MBD3L2
				MBL2
				MC2R
				MC3R
				MC5R
				MEP1A
				MEP1B
				MEPE
				MFRP
				MMD2
				MMP20
				MMP21
				MMP26
				MMP27
				MOGAT3
				MORC1
				MRGPRD
				MRGPRX1
				MRGPRX2
				MRGPRX4
				MS4A10
				MS4A13
				MS4A5
				MSGN1
				MT1B
				MTNR1B
				MUC17
				MUC7
				MYBPC3
				MYF5
				NANOGNB
				NANOS2
				NCR2
				NDST4
				NEUROD2
				NEUROD4
				NEUROD6
				NEUROG1
				NKX2-1
				NKX2-2
				NLRP4
				NLRP5
				NLRP8
				NLRP9
				NMS
				NOBOX
				NOTO
				NOX3
				NPFFR1
				NPHS2
				NPSR1
				NPVF
				NR2E1
				NYX
				OC90
				OLIG2
				OLIG3
				OPALIN
				OPN1LW
				OPN5
				OR10A2
				OR10A4
				OR10A5
				OR10H1
				OR10H2
				OR10H3
				OR10J1
				OR10R2
				OR10S1
				OR10X1
				OR10Z1
				OR11A1
				OR12D2
				OR12D3
				OR13C3
				OR13D1
				OR14A16
				OR1A1
				OR1A2
				OR1B1
				OR1D2
				OR1E1
				OR1E2
				OR1G1
				OR1L6
				OR1N2
				OR1S1
				OR1S2
				OR2AK2
				OR2AT4
				OR2C1
				OR2C3
				OR2D2
				OR2D3
				OR2F1
				OR2G2
				OR2G3
				OR2H1
				OR2J2
				OR2L3
				OR2T1
				OR2T10
				OR2T12
				OR2T2
				OR2T27
				OR2T33
				OR2T4
				OR2T5
				OR2W1
				OR3A1
				OR3A2
				OR3A3
				OR4C11
				OR4C3
				OR4D1
				OR4D10
				OR4D11
				OR4D9
				OR4K17
				OR51B6
				OR51D1
				OR51F2
				OR51T1
				OR51V1
				OR52A1
				OR52A5
				OR52B2
				OR52B6
				OR52E8
				OR52I2
				OR52K2
				OR52L1
				OR52M1
				OR52R1
				OR52W1
				OR56A1
				OR56A4
				OR56B1
				OR5AU1
				OR5C1
				OR5I1
				OR5M1
				OR5M10
				OR5P2
				OR5P3
				OR5R1
				OR5T1
				OR5T2
				OR5T3
				OR5V1
				OR5W2
				OR6A2
				OR6K6
				OR6S1
				OR6V1
				OR7A17
				OR7C2
				OR7D4
				OR7G2
				OR8A1
				OR8B8
				OR8G5
				OR8U1
				OR9Q2
				OTOP1
				OTOP3
				OTOR
				OTP
				OTUD6A
				OTX2
				PAGE3
				PANX3
				PASD1
				PAX1
				PAX4
				PBOV1
				PDCL2
				PDE6H
				PDILT
				PDX1
				PDYN
				PGK2
				PGLYRP2
				PGLYRP3
				PIWIL1
				PIWIL3
				PKD1L3
				PLA2G2E
				PLA2G2F
				PLA2G4E
				PLAC1L
				PNLIP
				PNLIPRP1
				PNLIPRP2
				PNPLA5
				POM121L12
				POTEA
				POTED
				POTEG
				POTEH
				POU3F4
				POU4F2
				POU4F3
				POU5F2
				PPP3R2
				PRAMEF1
				PRAMEF19
				PRAMEF2
				PRAMEF3
				PRAMEF4
				PRAMEF7
				PRB1
				PRB4
				PRDM13
				PRDM14
				PRDM7
				PRDM9
				PRG3
				PRLH
				PRLHR
				PROP1
				PRSS33
				PRSS37
				PRSS38
				PRSS41
				PRSS55
				PRSS58
				PRY2
				PSKH2
				PTF1A
				RAX
				RAX2
				RBM46
				RBMXL2
				RBMY1A1
				RBMY1B
				RBMY1D
				RBMY1E
				RBMY1F
				RBMY1J
				RBP3
				RBPJL
				RD3
				RDH8
				REG3A
				RESP18
				RETNLB
				REXO1L1
				RFPL3
				RFPL4B
				RFX6
				RHO
				RHOXF2
				RNASE10
				RNASE11
				RNASE12
				RNASE13
				RNASE8
				RNASE9
				RND2
				RNF113B
				RNF17
				RP1
				RP1L1
				RPE65
				RPTN
				RS1
				RTP1
				RTP2
				RXFP2
				RXFP3
				S100A7A
				S100G
				SAGE1
				SAMD7
				SCGB1D1
				SCN10A
				SCRT2
				SDR9C7
				SEC14L3
				SEMG2
				14-Sep
				SERPINA12
				SERPINA7
				SERPINA9
				SERPINB12
				SHCBP1L
				SHOX
				SI
				SIGLECL1
				SIX6
				SLC10A2
				SLC13A1
				SLC17A2
				SLC17A6
				SLC18A3
				SLC22A12
				SLC22A13
				SLC22A24
				SLC22A25
				SLC22A6
				SLC22A8
				SLC22A9
				SLC25A2
				SLC25A31
				SLC2A2
				SLC2A7
				SLC32A1
				SLC34A1
				SLC36A3
				SLC39A12
				SLC6A18
				SLC6A5
				SLC6A7
				SLC7A13
				SLCO1B1
				SLCO6A1
				SLITRK1
				SOHLH1
				SOX1
				SOX14
				SP8
				SPACA1
				SPACA5
				SPACA7
				SPATA16
				SPATA21
				SPEM1
				SPHAR
				SPINK14
				SPO11
				SPPL2C
				SPRR4
				SSTR4
				SSX3
				SSX5
				SSX7
				SSX8
				SSX9
				STATH
				SULT6B1
				SUN5
				T
				TAAR1
				TAAR2
				TAAR5
				TAAR6
				TAAR8
				TAAR9
				TAS1R2
				TAS2R1
				TAS2R13
				TAS2R16
				TAS2R39
				TAS2R40
				TAS2R41
				TAS2R42
				TAS2R43
				TAS2R46
				TAS2R50
				TAS2R60
				TAS2R7
				TAS2R8
				TAS2R9
				TBC1D21
				TBC1D29
				TBL1Y
				TBPL2
				TBR1
				TBX10
				TCEB3B
				TCEB3C
				TCHHL1
				TCP10L2
				TEDDM1
				TEX101
				TEX13A
				TEX28
				TEX34
				TFAP2D
				TFDP3
				TGIF2LX
				TGIF2LY
				TGM6
				TKTL2
				TLX1
				TMEM132D
				TMEM174
				TMEM207
				TMEM225
				TMIGD1
				TMPRSS11A
				TMPRSS11B
				TMPRSS11F
				TMPRSS12
				TMPRSS15
				TNR
				TPD52L3
				TPH2
				TPRX1
				TPTE
				TREML4
				TRHR
				TRIM40
				TRIM42
				TRIM43
				TRIM48
				TRIM49
				TRIM51
				TRIM60
				TRIM67
				TRIML1
				TRPC5
				TRPC7
				TRPM1
				TRPV5
				TSGA13
				TSHB
				TSPAN16
				TSPO2
				TSPY1
				TSPYL6
				TSSK1B
				TSSK2
				TXNDC8
				TYR
				UBQLN3
				UMOD
				UROC1
				USP17L2
				USP26
				USP29
				UTS2R
				VAX1
				VCX3A
				VHLL
				VN1R2
				VN1R4
				VN1R5
				VPREB1
				VRTN
				VSX2
				WFDC10A
				WFDC11
				WFDC9
				XAGE2
				XAGE5
				XKR7
				ZAN
				ZCCHC13
				ZCCHC16
				ZG16
				ZIC3
				ZIM3
				ZNF645
				ZNF648
				ZNF679
				ZNF804B
				ZNRF4
				ZP2
				ZP4
				ZSWIM2
